date_onset,"[0, 1)","[1, 5)","[5, 10)","[10, 15)","[15, 20)","[20, 25)","[25, 30)","[30, 35)","[35, 40)","[40, 100)"
2015-01-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-15,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0
2015-03-29,134.0,49.0,10.0,2.0,10.0,16.0,15.0,17.0,7.0,2.0
2015-04-12,246.0,173.0,29.0,23.0,101.0,94.0,58.0,34.0,21.0,16.0
2015-04-26,283.0,182.0,46.0,36.0,253.0,181.0,73.0,61.0,24.0,19.0
2015-05-10,224.0,135.0,36.0,41.0,613.0,387.0,94.0,59.0,24.0,22.0
2015-05-24,367.0,249.0,100.0,123.0,1424.0,971.0,327.0,177.0,89.0,51.0
2015-06-07,344.0,214.0,125.0,160.0,1062.0,842.0,288.0,191.0,97.0,46.0
2015-06-21,209.0,64.0,43.0,70.0,299.0,295.0,194.0,132.0,56.0,39.0
2015-07-05,157.0,42.0,29.0,24.0,112.0,170.0,118.0,56.0,45.0,22.0
2015-07-19,100.0,31.0,8.0,5.0,28.0,65.0,45.0,27.0,17.0,9.0
2015-08-02,68.0,12.0,9.0,2.0,23.0,33.0,24.0,16.0,3.0,5.0
2015-08-16,41.0,12.0,3.0,1.0,3.0,10.0,8.0,9.0,2.0,3.0
2015-08-30,31.0,9.0,1.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0
2015-09-13,13.0,7.0,1.0,0.0,3.0,2.0,3.0,2.0,1.0,1.0
2015-09-27,3.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0
2015-10-11,14.0,1.0,4.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0
2015-10-25,28.0,9.0,4.0,1.0,4.0,8.0,1.0,2.0,1.0,0.0
2015-11-08,67.0,14.0,9.0,1.0,6.0,6.0,9.0,3.0,2.0,2.0
2015-11-22,73.0,11.0,10.0,2.0,22.0,16.0,14.0,12.0,2.0,3.0
2015-12-06,82.0,11.0,12.0,7.0,28.0,27.0,17.0,18.0,2.0,0.0
2015-12-20,81.0,19.0,12.0,11.0,49.0,42.0,28.0,8.0,7.0,1.0
2016-01-03,115.0,22.0,11.0,19.0,96.0,117.0,50.0,36.0,16.0,9.0
2016-01-17,221.0,57.0,62.0,50.0,168.0,181.0,105.0,92.0,45.0,22.0
2016-01-31,249.0,46.0,43.0,36.0,136.0,148.0,110.0,91.0,42.0,24.0
2016-02-14,265.0,55.0,29.0,84.0,187.0,156.0,134.0,122.0,58.0,26.0
2016-02-28,381.0,92.0,79.0,112.0,347.0,288.0,214.0,141.0,71.0,31.0
2016-03-13,509.0,111.0,123.0,164.0,414.0,381.0,270.0,195.0,89.0,66.0
2016-03-27,768.0,200.0,172.0,265.0,631.0,662.0,389.0,284.0,133.0,83.0
2016-04-10,667.0,186.0,101.0,171.0,372.0,346.0,298.0,212.0,99.0,68.0
2016-04-24,486.0,142.0,106.0,172.0,329.0,302.0,223.0,174.0,93.0,56.0
2016-05-08,318.0,97.0,83.0,119.0,180.0,155.0,152.0,109.0,63.0,41.0
2016-05-22,293.0,79.0,58.0,81.0,131.0,141.0,105.0,87.0,40.0,36.0
2016-06-05,179.0,71.0,39.0,53.0,70.0,62.0,40.0,45.0,20.0,21.0
2016-06-19,77.0,21.0,7.0,21.0,17.0,13.0,3.0,15.0,12.0,7.0
2016-07-03,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
