,0,1-4,5-9
Arkhangai,860,7364,1837
Bayan-Ulgii,1361,9069,1872
Bayankhongor,928,6992,2019
Bulgan,574,4494,1430
Gobi-Altai,494,4490,1276
Gobisumber,210,1499,391
Darkhan-uul,1205,8408,2115
Dornogobi,780,5748,1496
Dornod,555,4623,1953
Dundgobi,400,3281,1127
Zavhan,821,5751,1662
Orkhon,1082,8029,2127
Uvurkhangai,1035,8849,2343
Umnugobi,756,5465,1466
Sukhbaatar,618,5014,1386
Selenge,1140,8727,2571
Tuv,904,7471,2066
Uvs,960,7219,2251
Khovd,991,7797,2194
Huvsgul,1459,11459,2996
Khentii,730,5620,1821
Ulaanbaatar,16439,110482,27133
